id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
49249759,Capital Hill- center of the universe!,39834464,Vera,Capitol Hill,Broadway,47.62124,-122.31823,Entire home/apt,166,30,0,,,51,365,0,STR-OPLI-19-000080
49249981,Cal Anderson Park Escape,39834464,Vera,Capitol Hill,Broadway,47.62062,-122.32,Entire home/apt,177,30,0,,,51,365,0,STR-OPLI-19-000401
49251550,Blue Room Historic Panama Hotel Intl District,1608733,Bean,Downtown,International District,47.59984,-122.32596,Private room,90,1,19,2021-08-29,19,15,360,19,Exempt
49254280,1 block to Green Lake & Super convenient 2,3074414,Melissa,Other neighborhoods,Green Lake,47.68039,-122.3235,Entire home/apt,85,2,6,2021-07-25,2.09,75,49,6,STR-OPLI-20-000157
49262712,Room A Single bedroom,158764973,Shiwen,Other neighborhoods,Wallingford,47.65555,-122.32801,Private room,42,1,14,2021-09-08,6.46,3,113,14,STR-OPLI-19-002160
49263829,Gyotaku Suite Historic Panama Hotel Intl District,1608733,Bean,Downtown,International District,47.59984,-122.32596,Private room,150,1,18,2021-09-07,3.83,15,362,18,Exempt
49263976,Room with a big window,28890740,Wenqi,Other neighborhoods,Broadview,47.71712,-122.3568,Private room,35,30,1,2021-06-06,0.27,3,258,1,
49275438,Designer 4B3B w Theater & Rooftop close to CapHill,25110157,Eva,Central Area,Madrona,47.61313,-122.29555,Entire home/apt,354,2,22,2021-09-18,4.52,3,155,22,STR-OPLI-21-000315
49290022,"Modern Studio Retreat in Sunset Hill, Ballard!",31187125,Payton,Ballard,Loyal Heights,47.67705,-122.39235,Entire home/apt,101,1,30,2021-09-21,6.43,2,113,30,STR-OPLI-21-000280
49296357,West Seattle Admiral District Gem,33360,Laura,West Seattle,North Admiral,47.5829,-122.38804,Entire home/apt,154,3,18,2021-09-16,4.29,10,31,18,STR-OPLI-19-003343
49300280,Hairdo Room Historic Panama Hotel Intl District,1608733,Bean,Downtown,International District,47.5987,-122.3253,Private room,91,1,22,2021-08-30,4.93,15,348,22,Exempt
49300715,Green Room Historic Panama Hotel Int’l District,1608733,Bean,Downtown,International District,47.6006,-122.32683,Private room,91,1,18,2021-08-29,14.21,15,354,18,Exempt
